epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,14092.4,1.23177,0.40458,0.00132,0.94244,0.55418,0.75589,0.55949,1.4709,0.54197,0.00222,0.0014258,0.0014258,0.0014258
147,14190.2,1.21572,0.39947,0.00133,0.939,0.56019,0.75837,0.55006,1.52011,0.54245,0.00231,0.00142184,0.00142184,0.00142184
148,14285.9,1.21226,0.39552,0.00133,0.94277,0.5595,0.75899,0.55573,1.50495,0.56127,0.00226,0.00141788,0.00141788,0.00141788
149,14381.5,1.19287,0.39152,0.0013,0.93906,0.55545,0.75636,0.56102,1.47348,0.54843,0.00223,0.00141392,0.00141392,0.00141392
150,14479.9,1.23239,0.40107,0.00134,0.93147,0.56689,0.75793,0.56011,1.46518,0.54221,0.00222,0.00140996,0.00140996,0.00140996
151,14575.8,1.20403,0.39226,0.00131,0.93547,0.55603,0.7548,0.56237,1.47743,0.54465,0.00222,0.001406,0.001406,0.001406
152,14671.4,1.20628,0.39636,0.00133,0.9392,0.56747,0.7624,0.55767,1.49801,0.54001,0.00227,0.00140204,0.00140204,0.00140204
153,14765.9,1.23123,0.39922,0.00132,0.93313,0.56585,0.75912,0.56621,1.44615,0.521,0.00219,0.00139808,0.00139808,0.00139808
154,14861.7,1.2089,0.39345,0.00131,0.93242,0.56747,0.76009,0.56258,1.47522,0.54365,0.00224,0.00139412,0.00139412,0.00139412
155,14958.4,1.1904,0.38336,0.00128,0.94297,0.55591,0.75777,0.56658,1.44792,0.53369,0.00221,0.00139016,0.00139016,0.00139016
156,15054.4,1.22261,0.40165,0.00133,0.93926,0.561,0.75735,0.56125,1.45293,0.52213,0.00221,0.0013862,0.0013862,0.0013862
157,15149.9,1.2194,0.40149,0.00131,0.9373,0.56643,0.76056,0.56236,1.46516,0.52119,0.00222,0.00138224,0.00138224,0.00138224
158,15244.6,1.19288,0.393,0.00132,0.94479,0.54563,0.75272,0.55571,1.47905,0.53803,0.00225,0.00137828,0.00137828,0.00137828
159,15340.4,1.18461,0.38664,0.00129,0.93407,0.56308,0.75851,0.56307,1.46107,0.55705,0.00222,0.00137432,0.00137432,0.00137432
160,15435.9,1.21538,0.3941,0.00127,0.93682,0.56701,0.76133,0.56405,1.458,0.55031,0.00221,0.00137036,0.00137036,0.00137036
