epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,9108.96,1.93948,0.72638,0.0023,0.96055,0.27287,0.61677,0.37529,2.17159,0.87604,0.00348,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
98,9204.08,1.96878,0.73958,0.00229,0.96164,0.26352,0.61276,0.37209,2.17864,0.87722,0.00348,0.00239888,0.000799625,0.00239888,0.000799625,0.00239888,0.000799625,0.00239888,0.000799625
99,9298.14,1.8939,0.71797,0.00229,0.95493,0.29864,0.62748,0.3766,2.1551,0.86749,0.00346,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725
100,9390.71,1.91043,0.72051,0.00229,0.94882,0.30626,0.62899,0.38021,2.13676,0.86722,0.00343,0.00232462,0.000774875,0.00232462,0.000774875,0.00232462,0.000774875,0.00232462,0.000774875
101,9484.93,1.87119,0.70763,0.00225,0.95622,0.28512,0.62156,0.37788,2.14437,0.86337,0.00344,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
102,9577.92,1.94067,0.73285,0.00231,0.96256,0.27622,0.6195,0.38027,2.13897,0.86947,0.00343,0.00225038,0.000750125,0.00225038,0.000750125,0.00225038,0.000750125,0.00225038,0.000750125
103,9671.15,1.92934,0.72663,0.00228,0.95474,0.28755,0.62189,0.3747,2.17147,0.87699,0.00347,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775
104,9763.92,1.94236,0.73049,0.00231,0.95701,0.28801,0.62339,0.37997,2.13283,0.87227,0.00343,0.00217612,0.000725375,0.00217612,0.000725375,0.00217612,0.000725375,0.00217612,0.000725375
105,9857.01,1.89869,0.71627,0.00227,0.95204,0.29355,0.62378,0.37365,2.1591,0.87424,0.00345,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
106,9950.3,1.92959,0.72787,0.00228,0.96042,0.27195,0.61612,0.37724,2.14162,0.87471,0.00343,0.00210188,0.000700625,0.00210188,0.000700625,0.00210188,0.000700625,0.00210188,0.000700625
107,10042.5,1.91035,0.71036,0.00226,0.95655,0.28997,0.62392,0.37645,2.15022,0.87054,0.00344,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825
108,10135.8,1.89233,0.7134,0.00226,0.95355,0.29644,0.62598,0.37788,2.16324,0.87249,0.00346,0.00202763,0.000675875,0.00202763,0.000675875,0.00202763,0.000675875,0.00202763,0.000675875
109,10228.3,1.89588,0.7067,0.00224,0.94925,0.30903,0.63046,0.37995,2.13903,0.86777,0.00343,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635
110,10320.5,1.86833,0.71254,0.00231,0.95716,0.29425,0.62628,0.38165,2.1342,0.87449,0.00342,0.00195337,0.000651125,0.00195337,0.000651125,0.00195337,0.000651125,0.00195337,0.000651125
111,10413.7,1.90552,0.71326,0.0023,0.94896,0.31146,0.63138,0.37926,2.13888,0.87587,0.00343,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875
112,10506.5,1.93631,0.7317,0.00228,0.9548,0.29771,0.62693,0.38134,2.11946,0.86496,0.00341,0.00187913,0.000626375,0.00187913,0.000626375,0.00187913,0.000626375,0.00187913,0.000626375
113,10600,1.90479,0.72037,0.00229,0.95456,0.30337,0.62986,0.38256,2.12875,0.86424,0.00341,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
114,10693,1.89508,0.71638,0.00226,0.95522,0.30314,0.62999,0.38167,2.13961,0.86483,0.00343,0.00180487,0.000601625,0.00180487,0.000601625,0.00180487,0.000601625,0.00180487,0.000601625
115,10786,1.89027,0.70273,0.00224,0.95246,0.31943,0.63704,0.38316,2.13657,0.85965,0.00342,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925
116,10879,1.85303,0.69773,0.00226,0.95382,0.30545,0.63071,0.38193,2.14638,0.86679,0.00343,0.00173063,0.000576875,0.00173063,0.000576875,0.00173063,0.000576875,0.00173063,0.000576875
117,10971.5,1.92024,0.71954,0.00229,0.96003,0.28581,0.62352,0.38075,2.13602,0.86354,0.00343,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645
118,11065.5,1.9191,0.72608,0.00227,0.959,0.29182,0.62573,0.38081,2.13493,0.86416,0.00342,0.00165638,0.000552125,0.00165638,0.000552125,0.00165638,0.000552125,0.00165638,0.000552125
119,11157.5,1.9201,0.71973,0.00225,0.95528,0.29367,0.62563,0.38087,2.1398,0.8663,0.00342,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975
120,11250.9,1.89249,0.71601,0.00232,0.95615,0.29471,0.62668,0.38194,2.13599,0.86265,0.00342,0.00158212,0.000527375,0.00158212,0.000527375,0.00158212,0.000527375,0.00158212,0.000527375
121,11344.8,1.91292,0.71402,0.00225,0.9604,0.28859,0.62504,0.38443,2.11804,0.85947,0.0034,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
122,11437.8,1.89335,0.70874,0.00225,0.95475,0.29979,0.62843,0.37963,2.14162,0.86595,0.00343,0.00150788,0.000502625,0.00150788,0.000502625,0.00150788,0.000502625,0.00150788,0.000502625
123,11531,1.89922,0.71026,0.00223,0.95631,0.29332,0.62607,0.38294,2.11757,0.85818,0.0034,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025
124,11623.5,1.90351,0.71025,0.00226,0.94869,0.314,0.63266,0.38096,2.14272,0.86736,0.00342,0.00143362,0.000477875,0.00143362,0.000477875,0.00143362,0.000477875,0.00143362,0.000477875
